LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
1,60,Female,Lahore,Organic,46,6,Hot,10,Mobile,Facebook,2,3,0.8,11,3,54,Good,0,Could have been better.
2,27,Male,Lahore,Email,42,8,Warm,6,Tablet,Direct,1,1,0.4,23,2,35,No Payment,0,The quality is below average.
3,21,Male,Sialkot,Email,56,11,Cold,1,Tablet,Direct,5,3,0.5,8,0,34,Good,0,"It’s just okay, not great."
4,37,Female,Quetta,Organic,24,15,Cold,6,Tablet,Direct,1,1,0.7,10,3,59,Good,0,"It’s passable, but I wouldn’t recommend it."
5,35,Female,Quetta,Email,39,14,Hot,10,Desktop,Direct,1,3,0.5,13,5,35,Good,0,I might look for alternatives.
6,34,Male,Gujranwala,Referral,56,9,Hot,6,Desktop,ReferralSite,3,3,0.8,15,7,23,No Payment,0,"Not terrible, but I’ve seen better."
7,28,Female,Sialkot,Social Media,17,10,Cold,2,Desktop,Twitter,0,3,0.6,17,2,119,Good,0,Feels like it’s missing something.
8,26,Female,Multan,Referral,25,3,Cold,8,Tablet,Twitter,0,3,0.1,13,1,48,No Payment,0,Not as reliable as I hoped.
9,54,Female,Lahore,Social Media,28,14,Hot,10,Tablet,Google,5,2,0.7,16,3,188,No Payment,0,I expected more for the cost.
10,25,Female,Peshawar,Referral,17,14,Warm,2,Desktop,Twitter,1,1,0.6,14,2,155,No Payment,0,Disappointing experience.
11,57,Male,Peshawar,Referral,39,14,Warm,5,Mobile,ReferralSite,1,1,0.4,13,4,120,Good,0,I might look for alternatives.
12,47,Female,Multan,Social Media,10,6,Cold,2,Desktop,ReferralSite,3,1,0.3,22,7,41,No Payment,0,The experience was frustrating.
13,22,Male,Karachi,Organic,5,8,Warm,0,Tablet,Facebook,1,0,0.1,11,1,46,No Payment,0,I might look for alternatives.
14,21,Female,Lahore,Referral,30,15,Cold,7,Desktop,ReferralSite,3,2,0.2,15,4,149,No Payment,0,The product has potential.
15,25,Female,Gujranwala,Referral,32,5,Cold,7,Mobile,Google,3,1,0.3,17,4,110,Good,0,I quite like the product.
16,33,Male,Karachi,Organic,30,9,Cold,1,Desktop,Google,5,1,0.4,23,10,101,Good,0,I don't like the product.
17,34,Female,Karachi,Email,10,2,Warm,3,Mobile,ReferralSite,3,1,0.3,19,10,94,No Payment,0,It did not meet my expectations.
18,52,Female,Multan,Email,16,9,Warm,9,Tablet,Facebook,3,2,0.1,4,8,116,Good,0,"It’s passable, but I wouldn’t recommend it."
19,58,Male,Faisalabad,Referral,40,13,Hot,6,Mobile,Twitter,3,3,0.7,7,8,92,Good,0,The product is not bad.
20,21,Female,Faisalabad,Social Media,55,12,Warm,5,Tablet,Facebook,1,3,0.5,6,7,52,No Payment,0,"Not terrible, but I’ve seen better."
21,55,Male,Karachi,Referral,11,5,Cold,5,Tablet,Direct,1,3,0.6,14,8,37,Good,0,Feels like it’s missing something.
22,32,Male,Islamabad,Social Media,60,15,Hot,4,Desktop,Facebook,1,2,0.1,14,4,115,Good,1,It’s a reliable product.
23,54,Female,Quetta,Email,29,3,Cold,8,Tablet,Google,0,1,0.3,10,5,90,Good,0,It did not meet my expectations.
24,46,Male,Quetta,Email,22,7,Cold,8,Mobile,Google,5,1,0.3,21,9,176,Good,0,The product is not bad.
25,34,Female,Peshawar,Organic,12,2,Warm,7,Desktop,Twitter,2,2,0.7,6,8,130,Good,0,"I’m satisfied, but it’s not a fit for me."
26,48,Male,Karachi,Email,19,8,Hot,4,Desktop,Facebook,3,3,0.2,9,1,20,Good,0,Feels like it’s missing something.
27,57,Male,Lahore,Email,16,14,Warm,4,Desktop,Twitter,1,2,0.7,15,8,95,No Payment,0,"It’s passable, but I wouldn’t recommend it."
28,37,Female,Islamabad,Email,60,3,Cold,8,Tablet,Direct,4,2,0.5,3,3,122,No Payment,0,I might look for alternatives.
29,20,Female,Rawalpindi,Organic,49,10,Cold,1,Desktop,Facebook,3,0,0.6,15,2,111,No Payment,0,Could have been better.
30,30,Male,Lahore,Social Media,6,4,Hot,6,Tablet,ReferralSite,4,0,0.5,4,2,121,No Payment,0,"A good product, but I’m not ready to buy."
31,47,Female,Peshawar,Referral,41,2,Hot,5,Desktop,Google,3,3,0.1,19,0,22,Good,0,Not a fan of the design.
32,41,Female,Islamabad,Referral,49,15,Hot,4,Tablet,Facebook,1,2,0.6,24,5,182,Good,0,I don't like the product.
33,37,Male,Multan,Email,48,14,Warm,3,Tablet,ReferralSite,5,1,0.7,5,9,37,Good,0,Not as reliable as I hoped.
34,29,Male,Quetta,Social Media,56,11,Warm,2,Tablet,Direct,2,0,0.3,3,8,186,Good,0,"I’m satisfied, but it’s not a fit for me."
35,33,Male,Multan,Social Media,30,2,Cold,10,Tablet,Twitter,4,3,0.4,7,2,39,No Payment,0,"It’s just okay, not great."
36,41,Male,Lahore,Referral,18,10,Hot,10,Tablet,Facebook,3,0,0.8,17,8,51,Good,0,"Not terrible, but I’ve seen better."
37,26,Male,Karachi,Social Media,60,11,Cold,8,Mobile,Twitter,2,3,0.3,2,6,174,No Payment,0,"It’s useful, but not for my current situation."
38,25,Female,Karachi,Social Media,45,4,Hot,1,Desktop,Google,1,0,0.2,19,9,176,Good,0,"It’s decent, but not for me."
39,44,Male,Karachi,Organic,54,6,Warm,10,Desktop,Direct,2,1,0.7,15,5,102,Good,0,"It’s nice, but not what I need."
40,26,Male,Rawalpindi,Email,25,14,Warm,9,Desktop,Twitter,1,3,0.1,3,2,192,Good,0,This product didn’t work well for me.
41,42,Female,Peshawar,Organic,39,4,Cold,6,Tablet,Google,1,1,0.7,17,4,82,Good,0,"It’s just okay, not great."
42,42,Female,Peshawar,Organic,57,9,Hot,8,Tablet,Twitter,0,2,0.4,7,2,67,Good,0,Didn’t quite work as expected.
43,58,Male,Gujranwala,Referral,49,15,Warm,4,Tablet,ReferralSite,5,0,0.3,2,7,31,Good,0,"Not terrible, but I’ve seen better."
44,36,Female,Multan,Social Media,53,9,Hot,0,Mobile,Twitter,1,1,0.4,3,5,179,Good,0,A bit underwhelming overall.
45,22,Female,Quetta,Social Media,34,9,Hot,2,Mobile,Facebook,4,2,0.3,5,10,132,No Payment,0,Didn’t quite work as expected.
46,49,Male,Faisalabad,Social Media,54,10,Hot,7,Mobile,Direct,2,1,0.1,12,2,38,Good,0,"I like it, but the price is too high."
47,54,Male,Rawalpindi,Email,41,12,Hot,3,Tablet,Twitter,3,1,0.5,12,4,128,No Payment,0,The product has potential.
48,27,Male,Sialkot,Referral,14,3,Cold,10,Tablet,Twitter,1,3,0.7,8,8,79,No Payment,0,The product is not bad.
49,44,Female,Quetta,Social Media,58,3,Warm,8,Mobile,Google,0,1,0.7,7,0,99,Good,0,The quality is below average.
50,25,Female,Rawalpindi,Referral,9,9,Warm,6,Mobile,ReferralSite,3,3,0.6,24,5,104,Good,0,"A good product, but I’m not ready to buy."
51,55,Female,Gujranwala,Email,14,5,Warm,3,Mobile,Twitter,3,3,0.6,8,3,162,Good,0,Not as reliable as I hoped.
52,38,Female,Faisalabad,Social Media,44,14,Cold,8,Tablet,Twitter,3,0,0.5,20,5,137,Good,0,"It’s useful, but not for my current situation."
53,60,Male,Quetta,Organic,26,13,Cold,1,Tablet,Twitter,0,0,0.2,2,0,170,Good,0,"It’s okay, but not worth the price."
54,59,Male,Lahore,Social Media,44,9,Cold,4,Mobile,Direct,1,2,0.2,24,8,56,Good,0,The product has potential.
55,43,Female,Gujranwala,Email,10,3,Hot,9,Tablet,Facebook,3,0,0.4,19,9,69,No Payment,0,A bit underwhelming overall.
56,56,Male,Faisalabad,Referral,32,13,Hot,1,Desktop,Facebook,0,2,0.3,23,1,112,No Payment,0,I expected more for the cost.
57,32,Female,Multan,Social Media,5,14,Warm,1,Tablet,Twitter,1,2,0.3,5,6,147,Good,0,The product quality is okay.
58,24,Female,Gujranwala,Organic,58,13,Cold,2,Mobile,Direct,5,2,0.7,13,2,103,Good,0,Didn’t quite work as expected.
59,22,Female,Lahore,Email,19,12,Cold,5,Tablet,ReferralSite,4,2,0.5,17,4,128,No Payment,0,A bit underwhelming overall.
60,34,Female,Peshawar,Social Media,58,4,Hot,5,Desktop,Google,3,2,0.1,4,10,88,Good,0,I expected more for the cost.
61,38,Female,Rawalpindi,Organic,41,5,Cold,1,Mobile,Google,2,0,0.6,1,10,87,Good,0,"It’s okay, but not worth the price."
62,25,Female,Karachi,Email,43,10,Hot,7,Tablet,Direct,2,0,0.8,14,2,53,No Payment,0,The quality is below average.
63,34,Male,Islamabad,Social Media,40,12,Warm,10,Mobile,Twitter,0,2,0.7,7,4,131,No Payment,0,This product didn’t work well for me.
64,26,Female,Lahore,Social Media,57,5,Hot,10,Tablet,Facebook,0,2,0.8,3,8,24,No Payment,0,I don't like the product.
65,44,Male,Islamabad,Referral,43,11,Warm,9,Mobile,Twitter,3,3,0.1,5,10,129,Good,0,The product quality is okay.
66,37,Female,Sialkot,Social Media,47,3,Cold,9,Tablet,ReferralSite,3,0,0.3,19,2,90,Good,0,The product quality is okay.
67,49,Female,Lahore,Referral,39,14,Cold,4,Desktop,Twitter,5,2,0.7,5,6,140,No Payment,0,"It’s passable, but I wouldn’t recommend it."
68,60,Male,Gujranwala,Referral,43,10,Cold,8,Desktop,ReferralSite,1,2,0.4,22,5,103,No Payment,0,Could have been better.
69,43,Male,Islamabad,Email,59,2,Cold,7,Mobile,Twitter,5,1,0.3,21,10,170,No Payment,0,It’s functional but needs improvements.
70,30,Female,Rawalpindi,Organic,6,10,Cold,10,Mobile,ReferralSite,0,1,0.7,15,2,58,No Payment,0,It’s functional but needs improvements.
71,43,Female,Peshawar,Referral,28,2,Warm,4,Tablet,Twitter,0,0,0.1,14,8,184,Good,0,Could have been better.
72,42,Male,Rawalpindi,Social Media,46,6,Warm,9,Tablet,Twitter,3,0,0.5,7,0,58,Good,0,Feels like it’s missing something.
73,33,Female,Quetta,Organic,15,8,Warm,3,Mobile,Facebook,1,1,0.5,3,7,48,Good,0,"Not terrible, but I’ve seen better."
74,37,Female,Islamabad,Referral,11,14,Hot,5,Tablet,Google,5,2,0.4,19,0,82,No Payment,0,The experience was frustrating.
75,24,Female,Multan,Email,26,3,Cold,7,Tablet,Twitter,5,0,0.7,17,8,177,Good,0,I expected more for the cost.
76,58,Male,Lahore,Referral,13,11,Hot,10,Mobile,Facebook,3,1,0.7,8,8,181,No Payment,0,Not a fan of the design.
77,60,Female,Lahore,Referral,28,12,Cold,5,Mobile,ReferralSite,2,2,0.7,22,1,113,No Payment,0,The product quality is okay.
78,30,Male,Islamabad,Organic,51,11,Warm,6,Mobile,ReferralSite,0,1,0.7,10,2,144,Good,0,Didn’t quite work as expected.
79,54,Male,Sialkot,Referral,35,2,Warm,0,Mobile,Direct,1,2,0.5,7,5,70,No Payment,0,Didn’t quite work as expected.
80,35,Female,Gujranwala,Organic,59,7,Hot,5,Tablet,Direct,1,3,0.5,5,5,56,Good,0,"It’s decent, but not for me."
81,30,Male,Karachi,Social Media,23,13,Hot,8,Tablet,Facebook,5,1,0.7,2,0,89,Good,0,"It’s nice, but not what I need."
