LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
18605,33,Male,Multan,Email,49,4,Warm,4,Desktop,Twitter,3,3,0.6,3,4,38,No Payment,0,Could have been better.
24077,23,Male,Lahore,Email,41,9,Warm,10,Mobile,ReferralSite,2,1,0.4,1,5,161,No Payment,0,Didn’t quite work as expected.
12421,29,Female,Quetta,Organic,21,11,Warm,3,Mobile,Google,4,2,0.8,10,3,59,Good,0,I might look for alternatives.
6235,30,Male,Lahore,Social Media,9,13,Warm,9,Tablet,Direct,3,3,0.5,2,5,142,No Payment,1,The quality is impressive for the price.
18530,34,Male,Sialkot,Social Media,12,4,Cold,1,Tablet,Direct,4,1,0.5,9,2,89,Good,0,"It’s just okay, not great."
21170,35,Female,Lahore,Referral,51,13,Hot,10,Desktop,Google,4,3,0.5,22,3,91,No Payment,1,I am generally pleased with the purchase.
17053,47,Female,Gujranwala,Referral,50,8,Cold,3,Desktop,Google,5,2,0.2,13,7,81,No Payment,0,Feels like it’s missing something.
14842,49,Male,Sialkot,Email,53,12,Warm,1,Mobile,ReferralSite,4,1,0.2,1,10,102,No Payment,0,Not a fan of the design.
13584,40,Male,Lahore,Organic,38,12,Hot,8,Desktop,Twitter,1,0,0.4,17,10,155,Good,1,"Good quality, but there’s room for improvement."
23854,41,Female,Lahore,Social Media,37,13,Hot,6,Tablet,Google,4,1,0.3,18,9,164,Good,1,"It’s nice to have, though not life-changing."
5169,30,Male,Quetta,Organic,15,9,Hot,0,Tablet,ReferralSite,4,2,0.8,19,9,172,Good,0,This product didn’t work well for me.
25549,42,Female,Karachi,Email,60,7,Warm,6,Mobile,Direct,4,2,0.8,2,9,99,No Payment,0,"It’s nice, but not what I need."
3643,47,Male,Quetta,Social Media,55,5,Hot,8,Mobile,Facebook,1,1,0.4,23,10,85,Good,0,The product is not bad.
20941,21,Male,Peshawar,Social Media,16,3,Warm,1,Tablet,ReferralSite,1,3,0.7,10,1,142,Good,0,I quite like the product.
11985,48,Male,Lahore,Email,17,13,Warm,7,Tablet,Direct,4,1,0.5,5,5,193,No Payment,1,The quality is impressive for the price.
11051,52,Female,Faisalabad,Referral,27,11,Hot,9,Tablet,ReferralSite,3,2,0.7,16,7,76,No Payment,0,A bit underwhelming overall.
11502,29,Female,Peshawar,Organic,57,13,Hot,0,Desktop,Direct,0,3,0.4,17,10,81,Good,0,"I like it, but the price is too high."
8629,43,Female,Lahore,Referral,18,13,Cold,6,Mobile,Facebook,0,0,0.3,7,9,163,No Payment,1,I am generally pleased with the purchase.
9946,30,Male,Karachi,Email,10,15,Hot,8,Mobile,Facebook,3,1,0.1,5,7,118,No Payment,1,It does the job as advertised.
8630,45,Female,Islamabad,Referral,38,7,Warm,1,Mobile,Twitter,5,2,0.3,13,5,53,No Payment,0,I don't like the product.
18858,30,Female,Karachi,Email,5,14,Cold,7,Mobile,Google,2,3,0.6,19,6,138,Good,1,This is exactly what I was looking for.
14236,25,Female,Faisalabad,Referral,28,9,Cold,8,Desktop,Google,1,0,0.2,24,2,59,No Payment,0,"It’s nice, but not what I need."
10407,39,Male,Faisalabad,Social Media,27,9,Hot,10,Mobile,ReferralSite,0,3,0.4,9,10,184,No Payment,0,"It’s okay, but not worth the price."
17612,38,Female,Karachi,Social Media,19,9,Warm,6,Tablet,Facebook,5,3,0.7,22,5,103,Good,0,This product didn’t work well for me.
18839,30,Male,Quetta,Organic,45,4,Cold,9,Mobile,Facebook,1,0,0.4,4,4,134,Good,0,Disappointing experience.
11179,29,Female,Rawalpindi,Organic,34,2,Warm,8,Desktop,Facebook,1,1,0.2,2,0,171,No Payment,0,"Not terrible, but I’ve seen better."
15846,45,Male,Lahore,Referral,11,15,Warm,7,Desktop,Google,4,3,0.6,11,7,80,No Payment,1,This is exactly what I was looking for.
19019,33,Male,Lahore,Email,17,15,Cold,10,Desktop,Facebook,4,0,0.2,7,10,185,Good,1,Great experience!
